Company,Ticker,Date,Call
Thunder Bridge Acquisitio ,THBR,31/3/2021,Buy
Snowflake ,SNOW,25/8/2021,Buy
Peloton ,PTON,8/9/2020,Positive Mention
API Group ,APG,7/12/2020,Buy
Levi Strauss ,LEVI,6/10/2021,Buy
Mazor Robotics ,MZOR,11/4/2017,Buy
Extreme Networks ,EXTR,29/1/2018,Sell
Funko ,FNKO,9/11/2018,Buy
Apellis Pharmaceuticals ,APLS,8/1/2020,Negative Mention
Tesla ,TSLA,30/11/2020,Buy
New Relic ,NEWR,7/11/2017,Buy
Logitech International ,LOGI,18/3/2020,Buy
Rocket Companies ,RKT,26/2/2021,Buy
Whole Foods Markets ,WFM,10/6/2016,Buy
Social Capital Hedosophia ,IPOE,24/2/2021,Buy
Manitowoc ,MTW,25/4/2016,Buy
Splunk ,SPLK,28/2/2019,Buy
Enterprise Products Partn ,EPD,19/3/2020,Sell
Lemonade ,LMND,11/11/2020,Buy
Clean Energy Fuels ,CLNE,17/6/2021,Buy
Airbnb ,ABNB,3/5/2022,Buy
Novavax ,NVAX,6/11/2020,Negative Mention
HP ,HPQ,24/11/2020,Buy
Western Digital ,WDC,6/4/2020,Buy
Canopy Growth ,CGC,16/10/2019,Negative Mention
DraftKings ,DKNG,19/1/2021,Buy
Intel ,INTC,23/1/2020,Negative Mention
International Flavors and ,IFF,6/11/2020,Buy
Li-Cycle 0ings ,LICY,11/1/2022,Sell
Matterport ,MTTR,22/12/2021,Buy
Wheels Up ,UP,13/9/2021,Buy
fuboTV ,FUBO,20/1/2021,Negative Mention
Wynn Resorts ,WYNN,27/4/2020,Positive Mention
Zebra Technologies ,ZBRA,12/11/2018,Buy
Zebra Technologies ,ZBRA,13/11/2018,Buy
Tortoise Acquisition ,SHLL,14/9/2020,Sell
Qorvo ,QRVO,29/7/2020,Buy
Rite Aid ,RAD,14/7/2016,Negative Mention
Affirm ,AFRM,6/12/2021,Buy
Live Nation ,LYV,27/4/2020,Sell
Wynn Resorts ,WYNN,22/12/2021,Buy
Chewy ,CHWY,27/3/2020,Buy
Tutor Perini ,TPC,6/4/2022,Buy
Plug Power ,PLUG,9/8/2021,Buy
Emergent BioSolutions ,EBS,8/1/2021,Buy
Inovio Pharmaceuticals ,INO,8/6/2017,Buy
Occidental Petroleum ,OXY,12/2/2021,Positive Mention
Five Below ,FIVE,30/11/2018,Buy
Tapestry ,TPR,27/4/2020,Sell
Lam Research ,LRCX,16/10/2018,Positive Mention
Penn National Gaming ,PENN,4/11/2020,Buy
Raytheon Technologies ,RTX,11/6/2020,Buy
Western Digital ,WDC,24/1/2017,Buy
IronNet ,IRNT,13/9/2021,Sell
AbbVie ,ABBV,1/11/2018,Negative Mention
Cirrus Logic ,CRUS,1/8/2017,Positive Mention
Cerus ,CERS,11/5/2020,Buy
Coterra Energy ,CTRA,1/3/2022,Buy
Logitech International ,LOGI,22/1/2019,Buy
Bed Bath & Beyond ,BBBY,25/6/2021,Buy
Tesla ,TSLA,7/1/2021,Buy
Zynex ,ZYXI,30/6/2021,Buy
Inovio Pharmaceuticals ,INO,27/4/2020,Buy
LinkedIn ,LNKD,28/4/2016,Positive Mention
Zillow ,Z,3/11/2021,Sell
At Home Group ,HOME,22/8/2016,Buy
Micron Technology ,MU,12/11/2018,Negative Mention
Micron Technology ,MU,13/11/2018,Negative Mention
GrowGeneration ,GRWG,19/3/2021,Buy
Panera Bread ,PNRA,25/10/2016,Positive Mention
TJX Companies ,TJX,16/11/2018,Positive Mention
Weber ,WEBR,15/9/2021,Buy
CEL-SCI ,CVM,4/3/2021,Buy
Digital Turbine ,APPS,25/1/2022,Sell
NVIDIA ,NVDA,8/11/2021,Buy
Best +2 ,BBY,15/5/2020,Positive Mention
Owens & Minor ,OMI,11/8/2020,Buy
Beyond Meat ,BYND,6/11/2020,Buy
Nordstrom ,JWN,27/4/2020,Sell
Veritone ,VERI,25/9/2017,Negative Mention
Zoom Video Communications ,ZM,23/4/2020,Buy
Block ,SQ,2/7/2020,Buy
Origin Materials ,ORGN,17/12/2021,Buy
Affirm ,AFRM,28/9/2021,Buy
Gap ,GPS,27/4/2020,Sell
Zoom Video Communications ,ZM,7/6/2019,Buy
Inovio Pharmaceuticals ,INO,23/4/2020,Buy
Deere & Company ,DE,15/5/2020,Negative Mention
Marvell Technology ,MRVL,1/11/2019,Buy
Costco ,COST,28/2/2020,Buy
Crocs ,CROX,9/11/2018,Buy
McDonald's ,MCD,6/11/2020,Buy
Micron Technology ,MU,12/3/2018,Buy
Health Catalyst ,HCAT,8/8/2019,Buy
Block ,SQ,8/9/2020,Positive Mention
Prudential ,PRU,28/4/2020,Negative Mention
Boeing ,BA,3/6/2020,Buy
Wells Fargo ,WFC,16/4/2020,Sell
Apple ,AAPL,31/1/2017,Buy
Caterpillar ,CAT,24/7/2017,Buy
Nio ,NIO,7/12/2020,Negative Mention
Plug Power ,PLUG,6/12/2021,Positive Mention
Cloudera ,CLDR,1/6/2020,Buy
Chevron ,CVX,1/4/2020,Positive Mention
Horizon Pharmaceuticals ,HZNP,4/11/2016,Negative Mention
SoFi Technologies ,SOFI,13/10/2021,Buy
Apple ,AAPL,31/7/2018,Buy
Upstart ,UPST,26/1/2022,Buy
Yext ,YEXT,12/3/2020,Buy
Stitch Fix ,SFIX,9/7/2018,Buy
Pacific Ethanol ,PEIX,19/11/2020,Sell
Crown Castle ,CCI,2/7/2020,Buy
Inseego ,INSG,7/1/2021,Buy
Lydall ,LDL,14/12/2020,Buy
InMode ,INMD,19/3/2020,Buy
Rivian ,RIVN,11/11/2021,Buy
Bed Bath & Beyond ,BBBY,28/10/2020,Buy
Tilray ,TLRY,9/11/2018,Positive Mention
Edwards Lifesciences ,EW,23/10/2019,Buy
Apple ,AAPL,30/4/2019,Buy
DraftKings ,DKNG,4/11/2020,Buy
Acacia Communications ,ACIA,26/7/2016,Positive Mention
Palo Alto Networks ,PANW,21/5/2020,Buy
Virgin Galactic ,SPCE,15/6/2020,Sell
Tesla ,TSLA,21/10/2020,Buy
Constellation Brands ,STZ,30/6/2020,Positive Mention
Chewy ,CHWY,8/1/2020,Buy
Dexcom ,DXCM,29/7/2021,Buy
Tesla ,TSLA,14/4/2020,Buy
Block ,SQ,1/3/2021,Buy
Whirlpool ,WHR,25/4/2022,Buy
Livongo Health ,LVGO,8/8/2019,Buy
Roblox ,RBLX,6/12/2021,Buy
Tesla ,TSLA,21/1/2020,Positive Mention
Intel ,INTC,26/4/2018,Buy
MicroVision ,MVIS,26/4/2021,Positive Mention
Darden Restaurants ,DRI,27/3/2017,Buy
Golar LNG ,GLNG,2/11/2018,Sell
Etsy ,ETSY,6/12/2021,Buy
Marathon Oil ,MRO,1/4/2020,Sell
Western Digital ,WDC,25/3/2020,Buy
ForeScout ,FSCT,13/4/2018,Buy
Marvell Technology ,MRVL,3/4/2020,Buy
23andMe ,ME,19/10/2021,Buy
Constellation Brands ,STZ,3/4/2020,Buy
Skyworks Solutions ,SWKS,4/5/2020,Buy
Bristol-Myers Squibb ,BMY,3/11/2020,Buy
Twilio ,TWLO,4/11/2016,Buy
Teva Pharmaceuticals ,TEVA,6/5/2016,Negative Mention
LivePerson ,LPSN,11/5/2020,Buy
Dycom Industries ,DY,16/4/2020,Buy
CareDX ,CDNA,10/7/2019,Positive Mention
Caterpillar ,CAT,9/3/2020,Negative Mention
Slack ,WORK,27/4/2020,Buy
SuperValu ,SVU,16/6/2017,Sell
Exact Sciences ,EXAS,8/1/2018,Buy
United Continental ,UAL,23/11/2020,Buy
Switch ,SWCH,24/2/2022,Buy
Alibaba ,BABA,15/5/2020,Negative Mention
Taiwan Semiconductor ,TSM,15/4/2020,Positive Mention
Boeing ,BA,9/3/2020,Sell
Thor Industries ,THO,7/6/2019,Negative Mention
Foot Locker ,FL,13/11/2020,Negative Mention
Moderna ,MRNA,21/5/2020,Positive Mention
Ping Identity ,PING,19/5/2020,Buy
Shopify ,SHOP,28/2/2020,Buy
MGM Resorts ,MGM,19/5/2020,Negative Mention
GameStop ,GME,7/6/2021,Negative Mention
Taiwan Semiconductor ,TSM,15/1/2021,Buy
GoPro ,GPRO,16/9/2016,Positive Mention
Salesforce ,CRM,29/5/2018,Buy
Advanced Micro Devices ,AMD,28/2/2020,Buy
Palo Alto Networks ,PANW,13/11/2020,Buy
ZScaler ,ZS,6/12/2021,Hold
Doximity ,DOCS,6/12/2021,Buy
Thor Industries ,THO,25/9/2020,Buy
Sorrento Therapeutics ,SRNE,8/6/2020,Buy
Visa ,V,16/11/2018,Buy
Shake Shack ,SHAK,6/12/2017,Sell
Zoom Video Communications ,ZM,19/3/2020,Buy
Nextdoor 0ings ,KIND,3/2/2022,Buy
Alphabet ,GOOGL,27/4/2017,Buy
Twilio ,TWLO,6/12/2021,Buy
Salesforce ,CRM,4/6/2019,Buy
Bed Bath & Beyond ,BBBY,21/4/2020,Negative Mention
Turtle Beach ,HEAR,1/8/2018,Buy
MicroVision ,MVIS,19/4/2021,Sell
Boeing ,BA,7/4/2020,Buy
MeetMe ,MEET,16/9/2016,Buy
Marriott International ,MAR,10/8/2020,Positive Mention
Ralph Lauren ,RL,10/6/2016,Positive Mention
Teladoc ,TDOC,25/3/2020,Buy
Zoom Video Communications ,ZM,28/2/2020,Buy
Alexandria Real Estate Eq ,ARE,6/4/2020,Buy
Rocket Companies ,RKT,6/11/2020,Positive Mention
Moderna ,MRNA,28/2/2020,Buy
Plug Power ,PLUG,28/4/2021,Sell
Moderna ,MRNA,11/12/2020,Positive Mention
Apple ,AAPL,9/3/2020,Positive Mention
Stem ,STEM,9/8/2021,Buy
Norwegian Cruise Line ,NCLH,30/4/2019,Buy
Penn National Gaming ,PENN,19/1/2021,Buy
Equinix ,EQIX,6/4/2020,Buy
Bed Bath & Beyond ,BBBY,9/1/2020,Buy
SoFi Technologies ,SOFI,19/1/2022,Buy
Masimo ,MASI,12/5/2017,Buy
Zoom Video Communications ,ZM,18/2/2020,Buy
Apple ,AAPL,27/1/2022,Buy
Clorox ,CLX,1/2/2019,Buy
Porch ,PRCH,24/2/2021,Buy
QuantumScape ,QS,7/1/2021,Buy
GW Pharmaceuticals ,GWPH,14/9/2020,Buy
Bed Bath & Beyond ,BBBY,3/11/2021,Buy
United Natural Foods ,UNFI,27/3/2020,Buy
Tesla ,TSLA,14/9/2020,Buy
McDonald's ,MCD,27/4/2018,Buy
Vroom ,VRM,2/7/2020,Buy
InMode ,INMD,27/4/2020,Negative Mention
Zoom Video Communications ,ZM,26/2/2021,Buy
Medtronic ,MDT,16/11/2018,Positive Mention
Athersys ,ATHX,19/5/2020,Buy
Plug Power ,PLUG,19/2/2020,Negative Mention
Angi ,ANGI,2/7/2020,Buy
InMode ,INMD,22/1/2020,Buy
Salesforce ,CRM,28/2/2018,Buy
Alibaba ,BABA,2/2/2021,Buy
Alphabet ,GOOGL,26/10/2017,Positive Mention
Schrodinger ,SDGR,28/2/2020,Buy
Snap ,SNAP,3/3/2017,Positive Mention
Caterpillar ,CAT,15/5/2020,Sell
Asana ,ASAN,28/9/2021,Buy
Everi ,EVRI,21/7/2020,Buy
DraftKings ,DKNG,6/12/2021,Positive Mention
Air Products and Chemical ,APD,6/11/2020,Positive Mention
Lemonade ,LMND,22/1/2021,Buy
Nucor ,NUE,16/4/2020,Negative Mention
Etsy ,ETSY,6/5/2021,Buy
Ligand Pharmaceuticals ,LGND,9/5/2022,Negative Mention
Nio ,NIO,15/10/2020,Negative Mention
Owens & Minor ,OMI,27/1/2020,Buy
Levi Strauss ,LEVI,9/10/2020,Buy
Kohl's ,KSS,11/1/2018,Buy
Jacobs Engineering ,J,15/5/2020,Sell
SunPower ,SPWR,4/5/2020,Negative Mention
AMC Entertainment ,AMC,7/6/2021,Positive Mention
Niu Technologies ,NIU,28/10/2020,Negative Mention
Beyond Meat ,BYND,15/1/2020,Negative Mention
Walt Disney ,DIS,12/8/2021,Buy
Esperion Therapeutics ,ESPR,27/2/2017,Sell
Aurinia Pharmaceuticals ,AUPH,17/3/2017,Negative Mention
GW Pharmaceuticals ,GWPH,24/9/2019,Buy
Time Warner ,TWX,12/6/2018,Positive Mention
McDonald's ,MCD,24/7/2017,Buy
Nutanix ,NTNX,17/10/2016,Negative Mention
Yum! Brands ,YUM,20/4/2016,Positive Mention
Lam Research ,LRCX,24/4/2019,Buy
Zillow ,Z,31/3/2021,Buy
Penske Automotive Group ,PAG,18/5/2020,Buy
Zoom Video Communications ,ZM,3/2/2020,Buy
Virgin Galactic ,SPCE,19/2/2020,Negative Mention
Teva Pharmaceuticals ,TEVA,10/2/2017,Negative Mention
Signet Jewelers ,SIG,2/12/2021,Buy
Salesforce ,CRM,5/10/2016,Buy
MGM Resorts ,MGM,8/12/2016,Buy
Micron Technology ,MU,11/10/2018,Negative Mention
Vaxart ,VXRT,14/12/2020,Sell
Palo Alto Networks ,PANW,16/11/2018,Buy
Taiwan Semiconductor ,TSM,31/3/2021,Buy
American Airlines ,AAL,5/8/2020,Positive Mention
Nokia ,NOK,27/10/2021,Positive Mention
Innovative Industrial Pro ,IIPR,21/6/2019,Negative Mention
CRISPR Therapeutics ,CRSP,22/12/2020,Buy
Tesla ,TSLA,7/9/2018,Sell
Upstart ,UPST,15/1/2021,Buy
Estee Lauder ,EL,17/8/2018,Buy
HubSpot ,HUBS,6/12/2021,Positive Mention
Ncino ,NCNO,9/10/2020,Buy
NovoCure ,NVCR,11/1/2022,Buy
Avaya ,AVYA,15/5/2020,Buy
Tellurian ,TELL,15/1/2020,Buy
Applied Materials ,AMAT,6/11/2020,Buy
Hut 8 Mining ,HUT,5/10/2021,Sell
Luckin Coffee ,LK,5/8/2019,Sell
Fortinet ,FTNT,15/5/2020,Buy
Wayfair ,W,6/5/2016,Positive Mention
AppLovin ,APP,16/8/2021,Buy
AT&T ,T,25/10/2019,Buy
Cimarex Energy ,XEC,21/6/2018,Buy
Snowflake ,SNOW,26/2/2021,Buy
Zebra Technologies ,ZBRA,3/4/2020,Buy
Tesla ,TSLA,4/5/2020,Buy
Inseego ,INSG,15/1/2021,Buy
Twilio ,TWLO,31/10/2016,Negative Mention
Kemet ,KEM,30/10/2018,Buy
